date,open,high,low,close,volume
1513458000000,0.7449,0.74504,0.74001,0.741,42741.80087824
1513458900000,0.75359,0.7549,0.74383,0.7549,51949.00170062
1513459800000,0.75084,0.7549,0.75084,0.754,12023.27558273
1513460700000,0.75,0.7549,0.7411,0.75398,89007.21246937
1513461600000,0.75398,0.755,0.75,0.7549,110169.50005266
1513462500000,0.7549,0.755,0.74301,0.754,193128.08387802
1513463400000,0.75225,0.7539,0.752,0.7522,35945.82245818
1513464300000,0.75216,0.75216,0.732,0.73973,260082.188024
1513465200000,0.7398,0.749,0.73918,0.74506,112381.76743899
1513466100000,0.74499,0.74899,0.74,0.7435,86994.89683194
1513467000000,0.74334,0.7489,0.74,0.7489,116098.78142194
1513467900000,0.74226,0.754,0.74219,0.74711,98684.21911166
1513468800000,0.74711,0.74711,0.72905,0.74,248851.28187112
1513469700000,0.7399,0.775,0.73901,0.75302,471320.00850736
1513470600000,0.75302,0.77989,0.75,0.75416,89374.1983735
1513471500000,0.75406,0.77323,0.754,0.7599,46097.74207647
1513472400000,0.7599,0.77,0.754,0.76402,97069.70316598
1513473300000,0.76068,0.77303,0.7605,0.76791,78861.58937551
1513474200000,0.76791,0.784,0.76731,0.77602,214593.54493123
1513475100000,0.77782,0.784,0.77,0.7799,124619.93709065
1513476000000,0.779,0.78,0.76819,0.76819,92497.4880508
1513476900000,0.76985,0.76985,0.75613,0.76328,34968.06718958
1513477800000,0.76328,0.7686,0.75606,0.76792,49831.91600509
1513478700000,0.76792,0.7725,0.7652,0.76864,17772.072332
1513479600000,0.77136,0.7755,0.76947,0.77549,100519.26643971
1513480500000,0.77546,0.77999,0.77512,0.77612,66028.15400453
1513481400000,0.77604,0.77989,0.769,0.775,146360.68067147
1513482300000,0.77508,0.78294,0.76088,0.77999,100115.56418595
1513483200000,0.77998,0.783,0.7793,0.7793,242759.10273957
1513484100000,0.77918,0.7795,0.77011,0.77283,15846.65611753
1513485000000,0.77294,0.78574,0.77292,0.78544,73190.21460644
1513485900000,0.78536,0.78536,0.77252,0.77993,38946.39340353
1513486800000,0.7789,0.78499,0.77517,0.78249,47488.08812848
1513487700000,0.78249,0.7849,0.77002,0.77958,77053.09329358
1513488600000,0.77991,0.781,0.77044,0.7733,25452.96537642
1513489500000,0.77287,0.77986,0.772,0.77724,87712.32268491
1513490400000,0.77724,0.7843,0.77203,0.77579,51579.09098142
1513491300000,0.77557,0.7759,0.76,0.77045,104223.40950911
1513492200000,0.76015,0.76903,0.76005,0.76025,34650.70277907
1513493100000,0.76538,0.7654,0.75,0.76497,485209.55779117
1513494000000,0.76227,0.76499,0.7523,0.75943,29015.44116347
1513494900000,0.75891,0.76,0.7501,0.751,85329.204019
1513495800000,0.75018,0.751,0.75001,0.751,35676.98581371
1513496700000,0.751,0.751,0.749,0.751,164572.30569618
1513497600000,0.7519,0.75978,0.749,0.74937,112133.28110161
1513498500000,0.749,0.7585,0.7412,0.745,234403.65392766
1513499400000,0.74806,0.75,0.745,0.745,91264.87215948
1513500300000,0.745,0.74995,0.745,0.74509,203603.09942868
1513501200000,0.74514,0.74997,0.745,0.74836,112165.02195834
1513502100000,0.74836,0.74836,0.745,0.745,90380.34390799
1513503000000,0.74747,0.74747,0.74439,0.74439,101588.21594899
1513503900000,0.74439,0.745,0.7415,0.74153,66349.94658107
1513504800000,0.74239,0.75951,0.74229,0.747,56670.57640567
1513505700000,0.74689,0.74991,0.744,0.745,68950.23752921
